gen,ind,genome,fitness
263,0,0,73.08021
263,1,0,65.77251
263,2,0,69.15078
263,3,0,65.81229
263,4,0,66.1021
263,5,0,65.031906
263,6,0,66.127495
263,7,0,65.5713
263,8,0,67.85622
263,9,0,65.85727
263,10,0,66.71131
263,11,0,65.086655
263,12,0,65.357376
263,13,0,65.32674
263,14,0,65.52546
263,15,0,67.85839
263,16,0,65.374146
263,17,0,65.61266
263,18,0,65.53855
263,19,0,68.590965
263,20,0,65.88453
263,21,0,68.22045
263,22,0,65.27515
263,23,0,65.74893
263,24,0,66.05048
263,25,0,65.743675
263,26,0,64.53504
263,27,0,65.52715
263,28,0,65.499725
263,29,0,66.0588
263,30,0,65.58079
263,31,0,73.08021
263,32,0,66.77794
263,33,0,68.70576
263,34,0,67.08401
263,35,0,65.86217
263,36,0,66.443756
263,37,0,66.48385
263,38,0,68.44581
263,39,0,65.736465
263,40,0,69.13355
263,41,0,65.3741
263,42,0,65.957985
263,43,0,65.45498
263,44,0,66.0485
263,45,0,66.12472
263,46,0,65.4823
263,47,0,67.68216
263,48,0,65.35777
263,49,0,65.26324
263,50,0,66.299706
263,51,0,67.15621
263,52,0,66.53349
263,53,0,67.424835
263,54,0,67.47439
263,55,0,65.21089
263,56,0,65.58832
263,57,0,65.66354
263,58,0,66.49679
263,59,0,66.6424
263,60,0,65.54402
263,61,0,65.638275
263,62,0,65.651344
263,63,0,66.18765
263,64,0,67.301445
263,65,0,65.87551
263,66,0,66.00186
263,67,0,65.22859
263,68,0,68.550606
263,69,0,65.875
263,70,0,67.57532
263,71,0,65.841644
263,72,0,65.20917
263,73,0,65.84208
263,74,0,68.44065
263,75,0,65.11779
263,76,0,65.94954
263,77,0,65.7914
263,78,0,68.239136
263,79,0,65.763084
263,80,0,66.12489
263,81,0,66.500114
263,82,0,65.36376
263,83,0,65.59817
263,84,0,66.216644
263,85,0,66.30869
263,86,0,68.4901
263,87,0,65.7791
263,88,0,65.482
263,89,0,65.213776
263,90,0,66.53303
263,91,0,65.6557
263,92,0,65.87488
263,93,0,65.7693
263,94,0,65.14529
263,95,0,65.58127
263,96,0,65.39325
263,97,0,65.33251
263,98,0,65.59551
263,99,0,65.5618
263,100,0,65.530396
